buzerant
buzeranta
cicina
ciciny
cicinbrus
cicinbrusa
cicinbrusi
cicvor
cicvora
cicvori
čurák
čuráki
čuráci
čurina
dodrbať
dogrcať
dogrcia
dogrcajú
dojebať
dojebe
dojebú
dojebkať
dotrtkať
domrdať
domrdajú
dobrdá
dojebať
dotrtkať
dojebnúť
dojebal
dojebol
dopičovať
dopičuje
dopičujú
doprdieť
doprdí
doprdia
dosrať
doserie
doserú
došťať
doští
doštia
dosrávať
dosrávajú
dosráva
dotrtkať
dotrtkajú
dotrtká
drb
drbačka
drbák
drbať
drbko
drbnúť
drnkať
drnká
drnkajú
fas
fasovina
ficguma
ficgumi
frčina
frčiny
frčín
fuňa
fune
grc
grcu
grcina
grciny
grcať
grcia
grcajú
gec
gecovať
gäcu
gecuje
gecujú
hajzeľ
hajzľa
hajzla
hajzelka
hajzla
honiť
hajzlík
honí
honia
hovno
hovná
hovien
hovniak
zahovnený
chuj
chuji
chuja
chuje
chujovia
chujovský
chujový
chujovina
chujoviny
chujovín
jeb
jebačka
jebačky
jebačiek
jebák
jebáka
jebáky
zajebákovaný
jebáreň
jebárne
jebať
jebe
jebú
jebnúť
jebne
jebú
jebol
jebo
jeba
jebovia
jebko
jebka
jebung
kokot
kokoty
kokoti
kokotský
kokotina
kokotiny
kokotín
krámy
krámov
kujebák
kujebáka
kurevník
kurevníka
kurváč
kurváča
kurevstvo
kurevstva
kurevstiev
kurváčina
kurváčiny
kurváčin
kurva
kurvy
kuriev
kurviť
kurví
kurvia
mrd
mrdačka
mrdačky
mrdať
mrdá
mrdajú
mrdnúť
mrdne
mrdnú
mrdol
nadrbanec
nadrbať
nagrcať
nagrcia
nagrcajú
najebanec
najebanca
najebať
najebe
najebú
najebávať
najebáva
najebávajú 
najebnúť
najebe
najebú
najebol
namrdať
namrdá
namrdajú
napičovať
napičuje
napičujú
naprdieť
naprdí
naprdia
naprdel
nasrať
naserú
naserie
naser
nasrať
našťať
naští
naštia
natrtkať
natrtkajú
natrtká
nedomrdok
nedomrdka
nedomrdovia
ojebať
ojebe
ojebú
ojebávať
ojebávač
ojebávača
ojebávajú
obsrať
obserie
obserú
obser
obšťať
obští
obštia
obser
obšti
odjebať
odjebe
odjebú
odjebal
odjebávač
odjebávača
odjebnúť
odjebe
odjebú
odjebol
odjebal
odjebok
podjebok
výjebok
odrb
odrbať
ogrcať
ogrcia
ogrcajú
ojeb
ojebať
ojebe
ojebú
ojebal
ojebávať
omrdať
ojebávač
ojebávača
omrdať
omrdá
omrdajú
osrať
oserie
oserú
oser
osierať
ošťať
oští
oštia
ošti
piča
piče
píč
pička
pičky
pizda
pizdy
puča
fuňa
pičovský
pičiak
pičovať
pičovanie
pičuje
pičujú
pičiaka
pičovania
pičovaní
pičovina
pičoviny
pičovín
pičung
pojebať
pojebe
pojebú
pojebol
podjebnúť
podjebe
podjebú
podjebať
podjebal
podjebol
podjebnúť
podjebok
podjebávať
podjebáva
podjebávajú
podpičník
podpičníka
podrb
podrbať
pogrcať
pogrcia
pogrcajú
pojeb
pojebu
pojebú
pojeby
pojebaný
pojebaná
pomrdaný
potrtkaný
potrtkaná
potrtnkané
pojebané
pojebe
pojebú
pomrdá
pomrdajú
ponadrbávať
ponajebávať
poojebávať
ponajebáva
ponajebávajú
poojebávajú
poojebáva
poodjebávať
poodjebávajú
poodjebáva
poodmrdávať
poodmrdáva
poodmrdávajú
poogrciavať
poogrciavajú
poogrciava
pooštiava
pooštiavajú
pooštiavať
popičuje
popičovať
popičujú
popodjebávať
popodjebáva
popodjebávajú
popremrdávať
popremrdáva
popremrdávajú
poprejebávať
poprejebáva
poprejebávajú
popremrdávať
popremrdávajú
popremrdáva
poprijebávať
poprijebávajú
poprijebáva
pozadrbávať
porozjebávať
porozjebáva
porozjebávajú
porozmrdávať
porozmrdáva
porozmrdávajú
posran
posraná
posratý
posranec
poserie
posrať
poserú
posierať
posrávať
pošťať
poštia
poští
potrtkaný
potrtkať
potrtká
potrtkajú
poujebávať
poujebáva
poujebávajú
povyjebávať
povyjebávajú
povyjebáva
povymrdávať
povymrdávajú
pozadrbávať
pozajebávať
pozajebáva
pozajebávajú
pozajebávali
pozasierať
pozasiera
pozasierajú
pozajebáva
pozajebávať
pozajebávajú
prd
prdel
prdieť
prdia
prdí
prdnúť
prdne
prdnú
prdol
predrbať
predrbnúť
prejebať
prejebe
prejebú
prejebal
prejebnúť
prejebne
prejebú
prejebol
premrdať
premrdá
premrdajú
premrdnúť
premrdne
premrdnú
premrdli
prepičovať
prepičuje
prepičujú
presrať
preserie
preštia
preserú
preští
pretrtkať
pretrtká
pretrtkajú
prietrtky
prietrtkov
pridrbať
pridrbnúť
prijebať
prijebe
prijebú
prijebnúť
prijebne
prijebnú
prijebol
primrdnúť
primrdne
primrdnú
primrdol
pritrtkať
pritrtká
pritrtkajú
rozdrbať
rozdrbe
rozdrbú
riť
rite
riti
rozdrbať
rozdrbnúť
rozjebať
rozjebe
rozjebú
rozjebnúť
rozjebne
rozjebnú
rozjebol
rozmrdať
rozmrdá
rozmrdajú
rozmrdal
rozosrať
rozoserie
rozoserú
rozprdieť
rozprdí
rozprdia
rozprdeli
roztrtkať
roztrtká
roztrtkajú
skokotený
skurviť
skurvia
skurvený
sráč
sračka
sračky
sračiek
sráča
sraľo
sraľa
sraľovia
sranec
sranca
sranina
sraniny
srať
serie
serú
ser
šťanec
šťanca
šťanky
šťaniek
šťať
ští
štia
šti
štiny
štín
trt
trtkať
trtká
trtkajú
trtnúť
trtne
trtnú
trtli
udrbať
udrbnúť
ujebať
ujebe
ujebú
ujebávať
ujebaný
ujebnúť
ujebne
ujebol
umrdať
umrdá
umrdajú
umrdnúť
umrdne
umrdnú
umrdol
uprdnúť
uprdne
uprdnú
uprdol
usrať
userie
userú
usierať
usiera
usierajú
utrtkať
utrtká
utrtkajú
vyjebať
vjebať
vjebe
vjebú
vjebávať
vjebnúť
vjebne
vjebú
vjebol
vozdra
vozdry
vozdier
vygrcať
vygrcia
vygrcajú
vygrcok
výgrcka
vyhoniť
vyhoní
vyhonia
vyjebanec
vyjebanca
vyjebanci
vyjebný
vyjebať
vyjebe
vyjebú
vyjebávať
vytrtkať
vymrdať
vyjebnúť
vyjebne
výjebok
vykokotený
vymrdať
vymrdá
vymrdajú
vymrdnúť
vymrdne
vymrdnú
vymrdol
vypičený
vypičovať
vypičuje
vypičujú
vypičiť
vypičí
vypičia
vypičili
vyprdieť
vyprdí
vyprdia
vyprdnúť
vyprdne
vyprdnú
vyprdol
vsrať
vysratý
vyšťať
vyštia
vyští
zahovnený
zajebákovaný
zajebanec
zajebanca
zajebanci
zajebať
zajebe
zajebú
zajebal
zajebávať
zajebnúť
zajebne
zajebú
zajebol
zamrdať
zamrdá
zamrdajú
zatrtkať
zatrtká
zatrtkajú
zasran
zasrana
zasrať
zjeb
zjebu
zjebať
zjebe
zjebú
zjebnúť
zjebne
zjebú
zjebol
zmrdať
zmrdá
zmrdajú
zmrd
zmrda

šukať
šuká
šukajú
šuknúť
šukne
šuknú
šukol
šukáč
šukáča
šukáči
šukačka
šukačky
šukačiek
šukáreň
šukárne
zašukať
zašuká
zašukajú
našukať
našuká
našukajú
vyšukať
vyšuká
vyšukajú
prešukať
prešuká
prešukajú
odšukať
odšuká
odšukajú
došukať
došuká
došukajú
pošukať
pošuká
pošukajú
rozšukať
rozšuká
rozšukajú
ušukať
ušuká
ušukajú
zošukať
zošuká
zošukajú
pichať
pichá
pichajú
pichnúť
pichne
pichnú
pichal
pichol
picháč
picháča
picháči
pichačka
pichačky
pichačiek
zapichať
zapichá
zapichajú
zapichnúť
zapichne
zapichnú
napichať
napichá
napichajú
napichnúť
napichne
napichnú
vypichať
vypichá
vypichajú
hovado
hovada
hovadstvo
hovadstiev
hovadská
hovadský
hovnár
hovnára
hovnári
sviňa
svine
sviní
suka
suky
súk
sukina
bastard
bastarda
bastardi
bastardov
parchant
parchanta
parchantka
parchantky
parchantov
kretén
kreténa
kreténi
kreténov
kreténstvo
kreténstiev
kreténský
debil
debila
debili
debilný
debilná
debilné
debilnosť
debilnosti
idiot
idiota
idioti
idiotov
idiotstvo
idiotský
imbecil
imbecila
imbecili
imbecilný
tupec
tupca
tupci
tupecký
šmejd
šmejda
šmejdi
šmejdák
šmejdáka
šmejdáci
podliak
podliaka
podliaci
podlosť
podlosti
mizera
mizery
mizer
kunda
kundy
kúnd
kundička
kundičky
kundičiek
lotor
lotra
lotri
lotrov
lotrovstvo
šlapka
šlapky
šlapiek
zasrávať
zasráva
zasrávajú
nasrávať
nasráva
nasrávajú
osrávať
osráva
osrávajú
presrávať
presráva
presrávajú
zosrávať
zosráva
zosrávajú
vykurviť
vykurví
vykurvia
vykurvení
vykurvená
skurvená
skurvení
zapizdený
sraťák
sraťáka
sraťáci
nakurviť
nakurví
nakurvia
nakurvený
nakurvená
nakurvení
pokurviť
pokurví
pokurvia
pokurvený
pokurvená
pokurvení
rozkurviť
rozkurví
rozkurvia
rozkurvený
rozkurvená
rozkurvení
ukurviť
ukurví
ukurvia
ukurvený
ukurvená
zakurviť
zakurví
zakurvia
zakurvený
zakurvená
zakurvení
dokurviť
dokurví
dokurvia
dokurvený
dokurvená
dokurvení
odkurviť
odkurví
odkurvia
odkurvený
odkurvená
prekurviť
prekurví
prekurvia
prekurvený
prekurvená
prekurvení
prdel
prdeľ
prdela
prdelka
prdelky
prdeliek
prdelník
prdelníka
prdelníci
prdeľák
prdeľáka
prdeľáci
prdelkáč
riťka
riťky
riťník
riťníka
riťníci
teplouš
teplouša
teplouši
teplouši
buzerantský
buzerantská
buzík
buzíka
buzíci
buzikár
lesba
lesbu
lesbe
lesbie
lesbo
negr
negra
negri
negrov
negrina
negriny
negrín
cigán
cigáňa
cigáni
cigánov
cigánsky
cigánska
cigánčisko
cigánčišťa
černoch
černocha
černochu
černosi
retard
retarda
retardi
retardov
retardovaný
retardovaná
retardovaní
retardizmus
feťák
feťáka
feťáci
feťákov
feťáčka
feťáčky
gauner
gaunera
gauneri
gaunerov
hnusák
hnusáka
hnusáci
hnusákov
hnusoba
hnusoby
hnusôb
smradlák
smradláka
smradláci
smradlákov
smradoch
smradocha
troska
trosky
trôsk
vyžera
vyžery
vyžier
podpaľač
odpad
odpadu
odpadák
odpadáka
odpadáci
hajzlovina
hajzloviny
hajzlovín
hajzlák
hajzláka
hajzláci
kurviča
kurvičy
kurviščo
pokurviť
pokurvičiť
drkotať
drkotá
drkotajú
drkotat
honiť sa
húľať
húľa
húľajú
šlapat
šlapáň
šlapáňa
znásilniť
znásilní
znásilnia
znásilnenie
znásilnenia
znásilnení
zneuctenie
prieserák
prieseráka
prieseráci
priesera
priesery
priesier
zasraná
zasraný
zasraní
nasraný
nasraná
nasraní
posratý
posratá
posratí
dosratý
dosratá
presratý
presratá
odratý
odratá
zmrdák
zmrdáka
zmrdáci
zasmrdieť
zasmrdí
zasmrdia
zasmrdel
smrdieť
smrdí
smrdia
smrdí
smrdel
smrdoch
smrdocha
smrdochu
prdloch
prdlocha
prdlochu
prdlosi
chujatý
chujatá
chujatí
prdelkový
srúľ
srúľa
srúľi
srúľov
srúľovský
gágor
gágora
gágori
gágorov
sopľák
sopľáka
sopľáci
sopliak
sopliaka
sopliaci
chrchľák
chrchľáka
chrchľáci
slinták
slintáka
slintáci
blbák
blbáka
blbáci
blbko
blbkovi
hlupák
hlupáka
hlupáci
hlupákov
hlúpak
hlúpaka
hlúpaci
pitomec
pitomca
pitomci
pitomost
pitomosti
pitomý
pitomá
pitomí
magor
magora
magori
magorov
magorský
magorská
magorstvo
magorstva
magorín
magorína
magorke
jebnutý
jebnutá
jebnutí
jebnuté
mrdnutý
mrdnutá
mrdnutí
jebaný
jebaná
jebaní
čúrať
čúra
čúrajú
načúrať
načúra
načúrajú
načúral
vyčúrať
vyčúra
vyčúrajú
počúrať
počúra
počúrajú
počúraný
počúraná
začúrať
začúra
začúrajú
čúranec
čúranca
čúranci
kakať
kaká
kakajú
pokakať
pokaká
pokakajú
pokakané
pokakaný
pokakaná
nakakať
nakaká
nakakajú
nakakané
nakakaný
nakakaná
péro
péra
pier
péronosič
pérko
pérka
prút
prúta
prúty
prútov
prútka
zvrhlík
zvrhlíka
zvrhlíci
zvrhlíkov
zvrhlícky
zvrátenec
zvrátencom
zvrátenecký
zvrátenosť
perverziak
perverziaka
perverzný
perverzná
perverzní
perverzita
pedofil
pedofila
pedofili
pedofilov
pedofília
pedofílny
pedofílna
pedofílni
pedofílnou
násilník
násilníka
násilníci
násilníkov
násilníčka
násilnícky
násilnícka
dement
dementa
dementi
dementov
dementný
dementná
dementní
dementnos
sprosták
sprostatka
sprostatky
sprostatiek
sprostatkovský
hrubián
hrubiána
hrubiáni
hrubiánov
hrubiánsky
nehanebník
nehanebníka
nehanebníci
nehanebník
nehanebnosť
oplzlík
oplzlíka
oplzlíci
oplzlíkov
chlipník
chlipníka
chlipníci
chlipníkov
chlipný
chlipná
chlipní
